city,state,locality,property_type,total_sqft,bhk,bath,balcony,floor,age_years,furnishing,facing,price,price_per_sqft
Mumbai,Maharashtra,Goregaon,Independent House,3100,6,6,1,22,0,Fully Furnished,West,658.65,17391.0
Mumbai,Maharashtra,Navi Mumbai,Villa,3100,4,4,0,9,0,Fully Furnished,South,826.98,22711.0
Mumbai,Maharashtra,Lower Parel,Apartment,1650,3,3,1,6,0,Fully Furnished,East,492.63,24995.0
Mumbai,Maharashtra,Andheri,Independent House,2600,5,5,1,7,0,Fully Furnished,South,586.88,17952.0
Mumbai,Maharashtra,Juhu,Apartment,1700,3,4,1,9,10,Semi-Furnished,North-West,396.49,24853.0
Mumbai,Maharashtra,Dadar,Apartment,1800,3,4,1,12,0,Fully Furnished,North,483.58,21223.0
Mumbai,Maharashtra,Powai,Independent House,3250,6,6,3,8,2,Unfurnished,North,777.36,25196.0
Mumbai,Maharashtra,Powai,Villa,2500,3,3,1,14,5,Fully Furnished,East,740.99,24525.0
Mumbai,Maharashtra,Borivali,Independent House,2550,5,5,2,16,1,Semi-Furnished,North-West,599.55,21550.0
Mumbai,Maharashtra,Worli,Apartment,1250,2,3,1,18,0,Fully Furnished,North-East,392.66,24929.0
Mumbai,Maharashtra,Lower Parel,Apartment,2600,5,5,1,24,1,Unfurnished,South,683.83,23969.0
Mumbai,Maharashtra,Borivali,Apartment,1800,3,3,1,4,5,Unfurnished,South,380.26,23094.0
Mumbai,Maharashtra,Malad,Independent House,2850,5,6,1,1,5,Unfurnished,North-West,565.25,21762.0
Mumbai,Maharashtra,Bandra,Villa,3500,4,4,1,5,0,Semi-Furnished,North-East,809.35,21891.0
Mumbai,Maharashtra,Malad,Apartment,1900,3,4,2,8,1,Unfurnished,North,464.6,22694.0
Mumbai,Maharashtra,Powai,Independent House,3450,6,7,1,6,0,Semi-Furnished,East,828.73,22134.0
Mumbai,Maharashtra,Goregaon,Apartment,1450,3,3,3,19,2,Unfurnished,North,304.47,21732.0
Mumbai,Maharashtra,Powai,Independent House,3800,6,7,2,21,5,Semi-Furnished,North,999.84,25578.0
Mumbai,Maharashtra,Dadar,Apartment,1850,3,3,3,3,5,Unfurnished,South,234.39,13169.0
Mumbai,Maharashtra,Goregaon,Independent House,3900,6,6,1,18,2,Unfurnished,East,783.22,19323.0
Mumbai,Maharashtra,Malad,Villa,3600,4,4,1,15,0,Unfurnished,West,997.64,26651.0
Mumbai,Maharashtra,Navi Mumbai,Villa,4500,5,5,1,22,0,Semi-Furnished,East,1296.45,25508.0
Mumbai,Maharashtra,Powai,Villa,3850,5,5,1,1,1,Fully Furnished,North,1007.53,22051.0
Mumbai,Maharashtra,Kandivali,Independent House,4500,6,7,2,12,0,Unfurnished,West,815.44,17581.0
Mumbai,Maharashtra,Powai,Apartment,1550,3,3,0,24,0,Fully Furnished,North-East,455.37,23882.0
Mumbai,Maharashtra,Kandivali,Independent House,3150,6,6,1,0,10,Unfurnished,North-West,618.31,23233.0
Mumbai,Maharashtra,Thane,Apartment,1550,3,3,3,9,1,Fully Furnished,South,371.06,20711.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,1900,3,3,1,11,1,Unfurnished,North,416.28,23017.0
Mumbai,Maharashtra,Borivali,Villa,4050,4,4,1,15,0,Unfurnished,South,1301.89,29924.0
Mumbai,Maharashtra,Thane,Apartment,2350,4,4,1,9,15,Fully Furnished,South,654.58,29559.0
Mumbai,Maharashtra,Dadar,Apartment,2050,4,4,1,19,2,Semi-Furnished,West,429.65,17439.0
Mumbai,Maharashtra,Navi Mumbai,Villa,2000,5,5,1,12,0,Semi-Furnished,North,398.82,17060.0
Mumbai,Maharashtra,Kandivali,Apartment,1650,3,3,2,12,15,Unfurnished,East,293.09,22079.0
Mumbai,Maharashtra,Navi Mumbai,Independent House,3050,6,7,3,15,0,Unfurnished,East,750.43,22578.0
Mumbai,Maharashtra,Lower Parel,Apartment,2500,5,5,3,19,10,Unfurnished,North-East,619.85,27243.0
Mumbai,Maharashtra,Thane,Villa,3450,4,4,1,24,2,Unfurnished,North-West,654.33,18264.0
Mumbai,Maharashtra,Navi Mumbai,Apartment,2000,4,4,2,10,5,Fully Furnished,West,447.55,19833.0
Mumbai,Maharashtra,Juhu,Apartment,2000,4,5,0,17,10,Unfurnished,East,438.48,26066.0
Mumbai,Maharashtra,Dadar,Apartment,1550,3,4,1,9,15,Unfurnished,East,230.24,18677.0
Mumbai,Maharashtra,Kandivali,Independent House,2450,4,5,2,6,5,Semi-Furnished,North-West,354.72,14734.0
Mumbai,Maharashtra,Malad,Apartment,2950,5,6,1,14,10,Semi-Furnished,North-West,597.27,21084.0
Mumbai,Maharashtra,Thane,Apartment,1550,3,3,1,14,1,Semi-Furnished,East,339.29,19005.0
Mumbai,Maharashtra,Lower Parel,Apartment,2250,4,4,1,4,20,Fully Furnished,West,370.12,21309.0
Mumbai,Maharashtra,Thane,Villa,4000,3,3,0,5,15,Semi-Furnished,West,730.16,21601.0
Mumbai,Maharashtra,Andheri,Villa,3300,4,4,3,10,2,Semi-Furnished,North-West,657.25,18257.0
Mumbai,Maharashtra,Andheri,Apartment,2100,4,4,0,22,10,Fully Furnished,North-West,492.49,22017.0
Mumbai,Maharashtra,Navi Mumbai,Independent House,2200,4,4,1,0,15,Semi-Furnished,South,505.58,26339.0
Mumbai,Maharashtra,Lower Parel,Apartment,3100,6,6,1,21,5,Semi-Furnished,North-East,1097.33,31234.0
Mumbai,Maharashtra,Mulund,Independent House,2250,4,4,2,13,5,Unfurnished,North,606.34,30126.0
Mumbai,Maharashtra,Worli,Apartment,3000,5,6,1,0,5,Semi-Furnished,West,494.88,16549.0
Mumbai,Maharashtra,Malad,Apartment,1250,2,2,1,10,0,Unfurnished,North,318.27,25859.0
Mumbai,Maharashtra,Malad,Apartment,2250,4,5,1,17,2,Unfurnished,North-East,389.28,17903.0
Mumbai,Maharashtra,Juhu,Apartment,1900,3,3,1,13,1,Unfurnished,North,447.29,21327.0
Mumbai,Maharashtra,Malad,Builder Floor,1700,3,4,0,3,10,Semi-Furnished,North,303.18,20249.0
Mumbai,Maharashtra,Juhu,Apartment,2050,4,5,0,23,0,Semi-Furnished,North-East,688.2,29751.0
Mumbai,Maharashtra,Powai,Apartment,2550,5,5,1,9,2,Fully Furnished,North,593.78,19646.0
Mumbai,Maharashtra,Dadar,Villa,4950,4,4,1,1,2,Semi-Furnished,East,1047.76,21452.0
